optimizer_step,detection,activation_without_detection,solved_at_k,all_fail_fraction,simulation_valid_fraction,simulator_error_fraction,pi_complete_fraction,expected_output_exact_fraction,num_faults,num_completions,k,usable_logged
0,0.6481481481481481,0.08333333333333333,0.8888888888888888,0.1111111111111111,0.9722222222222222,0.009259259259259259,0.9305555555555556,0.08796296296296297,72,216,3,0.07407407407407407
5,0.6157407407407407,0.05092592592592592,0.8333333333333334,0.16666666666666666,0.9444444444444444,0.013888888888888888,0.8842592592592593,0.09259259259259259,72,216,3,0.0787037037037037
10,0.625,0.06944444444444445,0.8611111111111112,0.1388888888888889,0.9722222222222222,0.009259259259259259,0.9166666666666666,0.0787037037037037,72,216,3,0.06944444444444445
15,0.6527777777777778,0.08796296296296297,0.8888888888888888,0.1111111111111111,0.9675925925925926,0.004629629629629629,0.9027777777777778,0.125,72,216,3,0.08796296296296297
20,0.6620370370370371,0.06944444444444445,0.875,0.125,0.9907407407407407,0.004629629629629629,0.9537037037037037,0.10648148148148148,72,216,3,0.07407407407407407
25,0.6620370370370371,0.1111111111111111,0.8472222222222222,0.1527777777777778,0.9768518518518519,0.0,0.9490740740740741,0.125,72,216,3,0.08333333333333333
30,0.6990740740740741,0.09259259259259259,0.9027777777777778,0.09722222222222222,0.9861111111111112,0.0,0.9305555555555556,0.12962962962962962,72,216,3,0.12037037037037036
34,0.6527777777777778,0.08333333333333333,0.8611111111111112,0.1388888888888889,0.9861111111111112,0.004629629629629629,0.9444444444444444,0.125,72,216,3,0.09722222222222222
35,0.6712962962962963,0.06018518518518518,0.8611111111111112,0.1388888888888889,0.9814814814814815,0.0,0.9351851851851852,0.10648148148148148,72,216,3,0.0787037037037037
40,0.6481481481481481,0.07407407407407407,0.875,0.125,1.0,0.0,0.9629629629629629,0.12962962962962962,72,216,3,0.09259259259259259
45,0.6620370370370371,0.0787037037037037,0.8611111111111112,0.1388888888888889,0.9953703703703703,0.0,0.9675925925925926,0.1111111111111111,72,216,3,0.07407407407407407
50,0.6990740740740741,0.05092592592592592,0.875,0.125,0.9953703703703703,0.0,0.9629629629629629,0.11574074074074074,72,216,3,0.08796296296296297
55,0.6527777777777778,0.07407407407407407,0.8194444444444444,0.18055555555555555,0.9907407407407407,0.009259259259259259,0.9768518518518519,0.1111111111111111,72,216,3,0.06944444444444445
60,0.6851851851851852,0.07407407407407407,0.9166666666666666,0.08333333333333333,0.9907407407407407,0.009259259259259259,0.9722222222222222,0.10185185185185185,72,216,3,0.06481481481481481
65,0.6342592592592593,0.09259259259259259,0.8888888888888888,0.1111111111111111,0.9953703703703703,0.0,0.9675925925925926,0.08796296296296297,72,216,3,0.06018518518518518
