optimizer_step,clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,diagnostics/group_sampling/reward_fn/all_fail_fraction,diagnostics/group_sampling/reward_fn/all_pass_fraction,diagnostics/group_sampling/reward_fn/degenerate_fraction,diagnostics/group_sampling/reward_fn/mean_detected_per_group,diagnostics/group_sampling/reward_fn/pass_at_1,diagnostics/group_sampling/reward_fn/rescuable_all_fail_fraction,diagnostics/group_sampling/reward_fn/scalar_range_mean,diagnostics/group_sampling/reward_fn/scalar_std_mean,diagnostics/group_sampling/reward_fn/solved_fraction_pass_at_k,diagnostics/netlist_diversity/cumulative_unique_seen,diagnostics/netlist_diversity/effective_batch_unique_count,diagnostics/netlist_diversity/effective_batch_unique_fraction,diagnostics/netlist_diversity/unique_in_generation_batch,entropy,epoch,frac_reward_zero_std,gdpo/advantage_mean,gdpo/advantage_std,gdpo/missing_row_fraction,gdpo/objective_active_fraction/activation,gdpo/objective_active_fraction/detection,gdpo/objective_active_fraction/fidelity,gdpo/objective_active_fraction/format,generation/tokens_per_sec,generation/total_time_sec,grad_norm,kl,learning_rate,loss,num_tokens,reward,reward_std,rewards/reward_fn/component_mean/activation,rewards/reward_fn/component_mean/detected_faults_acc,rewards/reward_fn/component_mean/detection,rewards/reward_fn/component_mean/expected_output_acc,rewards/reward_fn/component_mean/fault_detected_by_pred_input_vector_acc,rewards/reward_fn/component_mean/fault_mention,rewards/reward_fn/component_mean/fault_site_activated_acc,rewards/reward_fn/component_mean/fidelity,rewards/reward_fn/component_mean/format,rewards/reward_fn/component_mean/format_compliance,rewards/reward_fn/component_mean/input_vector_acc,rewards/reward_fn/component_mean/pi_completeness,rewards/reward_fn/component_mean/pred_vs_fault_sim_acc,rewards/reward_fn/component_mean/sim_table_present,rewards/reward_fn/component_mean/tool_response_fidelity,rewards/reward_fn/mean,rewards/reward_fn/std,sampling/importance_sampling_ratio/max,sampling/importance_sampling_ratio/mean,sampling/importance_sampling_ratio/min,sampling/sampling_logp_difference/max,sampling/sampling_logp_difference/mean,step_time,throughput/overall_tokens_per_sec,throughput/tokens_per_sec,tools/call_count,tools/call_frequency,tools/failure_count,tools/failure_frequency,tools/failure_rate
1,0.0,0.0,0.0,0.0,0.0,0.04427083418704569,10518.041666666666,6722.541666666667,3506.4671325683594,3195.750691731771,1408.5416666666667,1408.5416666666667,0.08333333333333333,0.0,0.0,9.166666666666666,0.5729166666666666,1.0,1.3540896226962407,0.5364277372136712,0.9166666666666666,23.0,,,1.0,0.03594177497870987,0.0,0.013888889302810034,-3.0785385074505456e-09,0.9999221215645472,0.0,0.9305555584530035,0.8472222288449606,0.8888888942698637,0.8611111169060072,1005.6970833333335,176.60108333333335,1.9453125,0.0,0.0,2.7945,7811290.0,-1.857422990877063e-09,0.9593039080500603,0.6501736156642437,0.8315972263614336,0.5607638893028101,0.01215277798473835,0.5607638893028101,0.8315972263614336,0.6501736156642437,0.36632531446715194,0.5129688133796056,0.7825520684321722,0.7899305621782938,0.8696419720848402,0.8749720032016436,0.9635416691501936,0.8700236777464548,-3.0785385444579796e-09,0.9999221190810204,3.0,1.0103170027335484,5.984504766581527e-15,34.53507908185323,0.10702634106079738,6397.179573182017,1217.24,1217.24,16.0,0.9861111318071684,0.20833333333333334,0.008646632467086116,0.012888071895424838
2,0.0,0.0,0.0,0.0,0.0,0.0520833347303172,10434.958333333334,5580.375,2870.184097290039,2408.159901936849,1043.8333333333333,1043.8333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,9.833333333333334,0.6145833333333334,0.0,1.2171356528997421,0.44532808506240446,0.9166666666666666,45.0,,,1.0,0.04265474318041621,0.0,0.027777778605620067,9.830627284435067e-10,0.9999201744794846,0.0,0.8472222288449606,0.8194444514811039,0.930555559694767,0.8888888955116272,941.4358333333331,160.39012499999995,1.90625,0.0,5.000000000000001e-07,4.5128,14980510.0,2.6210827212362156e-09,0.9440864796439806,0.6293402748803297,0.8411458308498064,0.5850694415469965,0.011284722325702509,0.5850694415469965,0.8411458308498064,0.6293402748803297,0.36335838089386624,0.5365723843375841,0.7871816953023275,0.8628472201526165,0.9020882174372673,0.9105778733889262,0.9539930572112402,0.9075008754928907,9.83062765450941e-10,0.9999201819300652,3.0,1.0113222350676854,6.671387625378074e-14,33.3725372950236,0.12216185902555783,5889.908221248537,1214.39,1211.31,15.833333333333334,0.9678819651405016,0.3333333333333333,0.0065083725688358145,0.016290726817042606
3,0.0,0.0,0.0,0.0,0.0,0.03645833410943548,9194.125,5926.875,2852.701456705729,2574.4734395345054,911.125,911.125,0.0,0.125,0.0,10.458333333333334,0.6536458333333334,,1.2915583203236263,0.46637562895193696,1.0,65.0,65.0,0.9027777777777778,1.0,0.038940971452878635,0.0,0.013888889302810034,8.041083331596551e-10,0.9999189351995786,0.0,0.833333340783914,0.7916666766007742,0.9444444477558136,0.8472222300867239,1083.6995833333333,144.87733333333333,1.9140625,0.0006459947119689483,1.0000000000000002e-06,1.7895,21644518.0,3.559271045718478e-09,0.936436248322328,0.69965277860562,0.8645833358168602,0.6493055516233047,0.032118055736646056,0.6493055516233047,0.8645833358168602,0.69965277860562,0.4290123435979088,0.5922965742647648,0.7968749925494194,0.8237847263614336,0.8974050581455231,0.8984375049670538,0.9748263905445734,0.895448754231135,8.041084071745234e-10,0.9999189252654711,3.0,1.0107136716445286,3.96432273016543e-15,35.4554234345754,0.1303090381746491,5494.160125333816,1212.45,1208.12,16.083333333333332,0.9895833507180214,0.125,0.0025510203558951616,0.007352941176470587
4,0.0,0.0,0.0,0.0,0.0,0.04166666783081988,10280.541666666666,5988.0,2879.222325642904,2545.2125803629556,966.8333333333334,966.8333333333334,0.125,0.125,0.0,8.625,0.5390625,1.0,1.1203080713748932,0.45262136892415583,0.875,83.0,,,1.0,0.039509356208630685,0.0,0.0,-1.0736079340360287e-09,0.9999191885193189,0.0,0.8611111181477705,0.8055555646618208,0.9027777835726738,0.930555559694767,948.1337500000001,158.236125,2.125,0.0006039286173139166,1.5e-06,2.6618,28403734.0,-8.084396948178826e-10,0.9449764937162399,0.6614583333333334,0.874131940305233,0.5885416679084301,0.06423611116285126,0.5885416679084301,0.874131940305233,0.6614583333333334,0.37853706255555153,0.5384250059723854,0.795572911699613,0.8654513905445734,0.915442556142807,0.9192708308498064,0.96527777860562,0.9166178032755852,-1.0736079340360287e-09,0.9999191934863726,3.0,1.0103595107793808,1.2172862649244278e-13,33.92302870750427,0.12560748929778734,5850.388077810407,1197.2,1150.83,15.666666666666666,0.9826389054457346,0.041666666666666664,0.0017368649132549763,0.0023148148148148147
5,0.0,0.0,0.0,0.0,0.0,0.05034722317941487,10448.958333333334,5805.958333333333,2835.135513305664,2432.2243448893228,978.0416666666666,978.0416666666666,0.08333333333333333,0.125,0.041666666666666664,8.791666666666666,0.5494791666666666,0.5,1.1741064091523488,0.44376738637220114,0.9166666666666666,95.0,,,1.0,0.039347127567452844,0.01,0.027777778605620067,-1.4495718514417888e-09,0.9999234850207964,0.0,0.8750000062088171,0.8750000062088171,0.9444444477558136,0.9027777823309103,939.4358333333331,159.3505,1.8515625,0.0007096312054954979,2.0000000000000003e-06,2.8916,35027090.0,-5.682898318593033e-10,0.9668895527720451,0.6276041666666666,0.863715281089147,0.5598958296080431,0.04079861124046147,0.5598958296080431,0.863715281089147,0.6276041666666666,0.369579398073256,0.5128666122133533,0.7925347263614336,0.8463541629413763,0.9046192020177841,0.9122719789544741,0.9618055547277132,0.9109186554948489,-1.4495717404194863e-09,0.999923492471377,3.0,1.0090327262878418,5.080427784521957e-15,34.33498024940491,0.13186128623783588,5842.4000358991325,1183.76,1129.41,15.541666666666666,0.9800347362955412,0.0,0.003546099178493023,0.0
6,0.0,0.0,0.0,0.0,0.0,0.037326389380420245,10497.625,5532.666666666667,2699.837732950846,2356.140182495117,1030.9583333333333,1030.9583333333333,0.041666666666666664,0.125,0.0,10.708333333333334,0.6692708333333334,1.0,1.2243615488211315,0.4519554954022169,0.9583333333333334,111.0,67.0,0.9305555555555556,1.0,0.041921803718044735,0.01,0.0,-6.157077227693837e-09,0.999919426937898,0.0,0.8055555621782938,0.8194444514811039,0.9722222238779068,0.9305555584530035,956.6245833333332,145.70837500000002,2.390625,0.0008984923971032307,2.5e-06,4.0613,41643783.0,-3.996926169665589e-09,0.948615829149882,0.7109374962747097,0.869791659216086,0.6501736094554266,0.03906250031044086,0.6501736094554266,0.869791659216086,0.7109374962747097,0.4328985170771678,0.5939576352636019,0.7984664216637611,0.8697916641831398,0.9194594894846281,0.9279513905445734,0.9661458283662796,0.9260711148381233,-6.1570769131306475e-09,0.9999194294214249,3.0,1.0100659628709157,1.950554213873911e-13,34.06062332789103,0.13295227537552515,5501.935581067577,1185.99,1197.9,15.916666666666666,0.9782986318071684,0.0,0.004343342346449693,0.0
7,0.0,0.0,0.0,0.0,0.0,0.038194445660337806,10348.833333333334,5551.916666666667,2627.026107788086,2318.1287587483725,906.2083333333334,906.2083333333334,0.0,0.08333333333333333,0.0,9.833333333333334,0.6145833333333334,,1.3505670428276062,0.49243217254600796,1.0,130.0,,,1.0,0.04410626344179036,0.01,0.013888889302810034,-4.346172014872233e-09,0.9999067038297653,0.0,0.8194444527228674,0.8472222288449606,0.9861111119389534,0.9444444477558136,924.6541666666667,150.10583333333332,1.8515625,0.0014862727872847852,3e-06,4.0782,47992197.0,-2.766058627516147e-09,0.9746318484346072,0.6831597226361433,0.8776041666666666,0.6102430547277132,0.03993055612469713,0.6102430547277132,0.8776041666666666,0.6831597226361433,0.3926856604715188,0.5581126982967058,0.7967303146918615,0.8845486094554266,0.9190795496106148,0.9184027761220932,0.9661458333333334,0.9164087971051534,-4.346172042627809e-09,0.9999067013462385,3.0,1.0109103073676426,3.976901645163921e-13,32.76107438405355,0.14222996092091003,5590.701706256717,1178.44,1131.22,15.958333333333334,0.9904514054457346,0.08333333333333333,0.007455065458392103,0.0045343137254901964
8,0.0,0.0,0.0,0.0,0.0,0.035590278605620064,9997.125,5483.5,2742.0052795410156,2451.4244689941406,1090.3333333333333,1090.3333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,10.25,0.640625,0.5,1.2327382216850917,0.47383426354887587,0.9166666666666666,144.0,,,1.0,0.04240141711973896,0.01,0.013888889302810034,-5.458585153328421e-09,0.9999237681428591,0.0,0.9305555584530035,0.8750000074505806,0.9027777835726738,0.9166666716337204,950.0366666666667,151.27041666666665,1.8515625,0.0026408870374628655,3.5e-06,2.8464,54561595.0,-2.9009824172495278e-09,0.9714386090636253,0.6614583283662796,0.8671875024835268,0.5651041635622581,0.03732638837148746,0.5651041635622581,0.8671875024835268,0.6614583283662796,0.3540084483101964,0.5160414669662714,0.7984664216637611,0.84027777860562,0.9109863912065824,0.9139322862029076,0.9670138880610466,0.9124172056714693,-5.458585153328421e-09,0.9999237532416979,3.0,1.0108668903509777,3.420882475474768e-13,32.78526997566223,0.13447986294825873,5641.364255571738,1176.22,1160.28,15.916666666666666,0.9861111293236414,0.25,0.00917597790248692,0.01240079365079365
9,0.0,0.0,0.0,0.0,0.0,0.025173611550902326,8823.541666666666,5495.291666666667,2762.6910349527993,2550.1405639648438,1102.5833333333333,1102.5833333333333,0.0,0.125,0.0,10.25,0.640625,,1.279095709323883,0.4806479622105447,1.0,154.0,69.0,0.9583333333333334,1.0,0.040506167453713715,0.01,0.013888889302810034,-5.303364784362922e-10,0.9998851343989372,0.0,0.8055555621782938,0.8333333370586237,0.9722222238779068,0.9166666666666666,1142.7691666666667,128.15858333333338,20.0,0.004936422209690742,4.000000000000001e-06,1.8964,61002871.0,-9.007376881401777e-10,0.9793284212549528,0.7092013880610466,0.894965281089147,0.6302083358168602,0.05729166744276881,0.6302083358168602,0.894965281089147,0.7092013880610466,0.41169188854595024,0.5737254669268926,0.8061342512567838,0.8810763930281004,0.9331545035044352,0.9387853816151619,0.9730902835726738,0.9340308979153633,-5.303365339474434e-10,0.9998851319154104,3.0,1.010881468653679,8.902511988659196e-15,33.25663820902506,0.13405302197982868,4988.493100110441,1186.91,1285.87,15.833333333333334,0.9826389054457346,0.125,0.004416514731322725,0.007506127450980392
10,0.0,0.0,0.0,0.0,0.0,0.04166666783081988,11342.083333333334,5507.75,2808.416753133138,2450.980308532715,960.5833333333334,960.5833333333334,0.0,0.08333333333333333,0.0,9.666666666666666,0.6041666666666666,,1.337389553586642,0.5384444776767244,1.0,169.0,,,1.0,0.04084460955588535,0.01,0.027777778605620067,5.626741202598614e-10,0.9999230355024338,0.0,0.8888888955116272,0.861111119389534,0.930555559694767,0.9166666716337204,872.6837500000001,154.8587083333333,1.765625,0.005017588254607593,4.5e-06,3.5638,67605655.0,1.3203049024449835e-09,0.9628466616074244,0.6718750012417635,0.8732638905445734,0.5781250055879354,0.07291666752037902,0.5781250055879354,0.8732638905445734,0.6718750012417635,0.3824686426669359,0.5278670104841391,0.7983217611908913,0.8611111094554266,0.91670061647892,0.9244520341356596,0.9626736144224802,0.9199411695202192,5.626739722301247e-10,0.9999230404694875,3.0,1.0101430018742878,9.356781692932296e-15,33.03054857254028,0.12249568042655785,5820.8382829241455,1181.13,1130.33,16.125,0.9756944676240286,0.0,0.0008680555814256271,0.0
