job,model,context,tool_rounds,seed,variant,detection,expected_output,full_accuracy,failed_slots,slots,final_rate,expected_output_given_final,mean_generated_tokens,mean_tool_calls
base_ctx8192_tools0_seed42,base,8192,0,42,all,0.4722222222222222,0.4236111111111111,0.4236111111111111,75,144,0.4791666666666667,0.8840579710144928,6303.423611111111,0.0
base_ctx8192_tools0_seed42,base,8192,0,42,original,0.5555555555555556,0.5277777777777778,0.5277777777777778,16,36,0.5555555555555556,0.95,6188.194444444444,0.0
base_ctx8192_tools0_seed42,base,8192,0,42,renamed,0.5,0.4722222222222222,0.4722222222222222,18,36,0.5,0.9444444444444444,6291.472222222223,0.0
base_ctx8192_tools0_seed42,base,8192,0,42,reordered,0.4722222222222222,0.3888888888888889,0.3888888888888889,19,36,0.4722222222222222,0.8235294117647058,6198.833333333333,0.0
base_ctx8192_tools0_seed42,base,8192,0,42,renamed_reordered,0.3611111111111111,0.3055555555555556,0.3055555555555556,22,36,0.3888888888888889,0.7857142857142857,6535.194444444444,0.0
sft_ctx8192_tools0_seed42,sft,8192,0,42,all,0.4722222222222222,0.18055555555555555,0.18055555555555555,65,144,0.5486111111111112,0.3291139240506329,4861.777777777777,0.0
sft_ctx8192_tools0_seed42,sft,8192,0,42,original,0.5833333333333334,0.25,0.25,14,36,0.6111111111111112,0.4090909090909091,4518.0,0.0
sft_ctx8192_tools0_seed42,sft,8192,0,42,renamed,0.4166666666666667,0.2222222222222222,0.2222222222222222,17,36,0.5277777777777778,0.42105263157894735,5223.194444444444,0.0
sft_ctx8192_tools0_seed42,sft,8192,0,42,reordered,0.5555555555555556,0.16666666666666666,0.16666666666666666,13,36,0.6388888888888888,0.2608695652173913,4193.194444444444,0.0
sft_ctx8192_tools0_seed42,sft,8192,0,42,renamed_reordered,0.3333333333333333,0.08333333333333333,0.08333333333333333,21,36,0.4166666666666667,0.2,5512.722222222223,0.0
