idx,problem_id,module,fault,pi_bits,po_bits,gates,exact,probe_vectors,uniform_detection,uniform_activation,expected_random_best4,target_is_pi,target_is_po,all_zero,all_one,zero_or_one,constant2_random2_observed,random,greedy,mcts,best_of_n,evolutionary,vector_evolutionary
0,74c15f2d12a2fa4103d7a877b85bd3994f45e5ef2e0c28522b1d75010e917e85,subminus,sa0 n50,16,9,73,True,65536,0.5,0.5,0.9375,False,False,1,0,1,1.0,0.3125,0.5625,0.625,0.9375,0.8125,0.875
1,f0d863eb7d36fefd7b78a61f508637d0694b77f6b4a1e507c2aeb3195352c972,hexbcdconvertmodule,sa0 n5,4,8,12,True,16,0.375,0.5,0.847412109375,False,False,1,0,1,1.0,0.3125,0.5625,0.6875,1.0,0.9375,0.875
2,439577e7ecb18462f096e114a38fd7a02dab8b514fc1e3ff2171c32f90a86f75,top,sa1 v_pad,14,11,27,True,16384,0.96484375,0.96484375,0.999998472398147,False,True,1,1,1,1.0,0.9375,0.875,1.0,1.0,1.0,1.0
3,3161e44e04751bcf9f6c543cf1fb42886aa64a17a26a36c1e61a40a2fa753ec5,control,sa1 out[20],32,32,62,False,8192,0.492431640625,0.492431640625,0.9336290299038374,False,True,1,0,1,1.0,0.375,0.625,0.75,0.875,0.9375,1.0
4,735356c1d2cb465467a6c8df4a707a8759bc02597df49dd6f9c74c44f187fe9a,and_notbroken,sa1 result[18],64,32,54,False,8192,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,16bd95eb5d0eed8cde857d823f567c62180984b6676a6fbf7a4b8ee490634e71,d2str_b,sa1 str[15],16,128,130,True,65536,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,8b07e951090def38ac8b07a1303b2f2837680dbcd084f60ef276e74e63c3de4c,cmp,sa1 n56,67,1,54,False,8192,0.0,0.50927734375,0.0,False,False,1,0,1,1.0,0.0,0.0625,0.125,0.25,0.125,0.0
7,e4db25bacc90b6a37b9b04fb7fab25dc18801dc4fada20cba00d943fd4dcad7a,shl2_26bit,sa1 data_out_[23],26,28,29,False,8192,0.4957275390625,0.4957275390625,0.9353362323360093,False,True,1,0,1,1.0,0.5625,0.6875,0.75,1.0,1.0,0.875
8,4094174fecde38aea0a61cb934fe582aec1d60937ce31ab653c0bfe8fc63ec30,ccarrylookahead_11_11_11_inoutt,sa1 n67,23,12,33,False,8192,0.49658203125,0.49658203125,0.9357734118620442,False,False,0,1,1,1.0,0.5625,0.5625,0.8125,0.9375,0.875,0.9375
9,015fc053c23ff9a7ba420d737cf90b8d0fa5e3d04324832cfdc54a65508de718,linear_mprime,sa0 n47,64,64,96,False,8192,0.4979248046875,0.4979248046875,0.9364559247984372,False,False,1,1,1,1.0,0.5625,0.625,0.9375,0.9375,1.0,1.0
10,a67434d20910cbbba8512da6761b80eadeec38cc0dc248d8409ec9d56ddd7a64,n_case,sa1 n85,64,33,79,False,8192,0.999755859375,1.0,0.9999999999999964,False,False,0,1,1,1.0,1.0,0.75,0.75,0.6875,1.0,1.0
11,12562209951401f9a562cb782ebadc9b279eb3820dd301404c25ef16c9affc49,qkt_macro_handler_hub_add_32sx1u_32s_1,sa1 n40,33,32,78,False,8192,1.0,1.0,1.0,False,False,1,0,1,1.0,1.0,0.9375,0.9375,0.9375,0.875,1.0
12,4b631279d132b8a5aefb2e42bf2814db0d2bbd33c38bc441d36d8d0cac8e0ea2,expression_00000,sa0 y[38],60,90,129,False,8192,0.4915771484375,0.4915771484375,0.9331809574341923,False,True,0,1,1,1.0,0.5625,0.375,0.5625,0.875,0.625,0.9375
13,1821e1bcfe1a1b26f3a31ab4f0b546f2d048b8abd2741af1875195000a477cc2,wideexpr_00763,sa1 y[41],80,128,151,False,8192,0.76123046875,0.76123046875,0.9967497585293472,False,True,1,1,1,1.0,0.75,0.6875,0.75,1.0,0.9375,1.0
14,ce5a381b821aef8b05f31339f40175aec0309dd4884672446a346771b4b9e6db,top,sa0 wire1[16],63,68,86,False,8192,0.503662109375,0.503662109375,0.93931103616546,True,False,0,1,1,1.0,0.4375,0.0625,0.3125,0.75,0.875,0.8125
15,aecff5a6bd9c56f4f7897c842deba95fac7d6d9152dd091bc87c4b8c3826c7cd,hazardunit,sa0 n63,30,3,59,False,8192,0.0087890625,0.745361328125,0.0346954740516594,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
16,69c5229ae89f40e5fb7b0d029d5c3235bc9ef86d02d5f02b5a49e48700256d6a,top_module,sa0 d[2],30,32,33,False,8192,0.4918212890625,0.4918212890625,0.9333092089184836,True,False,0,1,1,1.0,0.5625,0.375,0.5,0.6875,0.8125,0.9375
17,7530ceb8e4eb24ae3348ae3f01e56a327a98bc4b520c1622d866ad496e94ea91,alu_control,sa0 n78,12,6,56,True,4096,0.99951171875,0.999755859375,0.9999999999999432,False,False,1,1,1,1.0,1.0,0.875,0.9375,0.9375,0.875,1.0
18,1d09c8bbfd423c96eac9fcf6ea66db9c325f0c8918c6679257c6419056620005,tt_um_b_2_array_multiplier,sa1 n57,19,24,58,False,8192,0.8770751953125,0.8770751953125,0.9997716725598449,False,False,1,0,1,1.0,0.875,0.9375,1.0,1.0,0.9375,1.0
19,fc9b0ef0e603316e473f066e24641e6a5dd1c486ec77ae9c8d99b3cdfcfaccdc,fake_icache,sa1 instruction[21],34,32,65,False,8192,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,0.8125,0.8125,1.0,0.875,1.0
20,fb78942b1713df352137e05954fca5cffe7baec6b5f31abb0a238bcec758b715,wideexpr_00650,sa0 y[45],80,128,177,False,8192,0.2459716796875,0.2459716796875,0.6767409957469395,False,True,0,0,0,0.5,0.4375,0.125,0.25,0.25,0.375,0.6875
21,4da6c75cc5b40fe50b5ef57d5bbddf00cbbe17c7ccd02d3e9cac1cb8605001b4,qkv_macro_handler_unit_leftshift_64u_98_1,sa0 n43,6,64,87,True,64,0.875,0.875,0.999755859375,False,False,1,1,1,1.0,0.9375,0.875,1.0,1.0,1.0,1.0
22,24645c6d1bf99175f2ca7a74636b14a51bc50df2bb55709d42775376543c0fe3,top,sa1 y11,25,13,42,False,8192,0.5068359375,0.5068359375,0.9408485103913335,False,True,1,0,1,1.0,0.5625,0.4375,0.75,0.9375,0.875,1.0
23,925682703187ea1f9779731945412e4b795964a10322ad89ae12e13b1092080b,pcadder,sa1 n29,32,32,74,False,8192,1.0,1.0,1.0,False,False,1,0,1,1.0,1.0,1.0,1.0,1.0,0.875,1.0
24,452879f1b0d71d9ba2dcff055fb3040d4346a2b9b71675a515baea164b4c1940,decoder_2_4_dataflow,sa0 n3,3,4,7,True,8,0.75,0.75,0.99609375,False,False,1,0,1,1.0,0.875,0.6875,0.8125,1.0,1.0,1.0
25,1abedce24fb1f9f41d72b2fb02d789b8ea614627155585eff4d2a0c89819f6e8,top,sa1 y[14],47,75,114,False,8192,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0
26,ae7fb6050f529c261e860eedb82d5e267db6619092f027a6540f8acb82af7cc9,partsel_00069,sa1 y[20],144,128,156,False,8192,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,0.875,0.875,1.0,0.9375,1.0
27,59c57c060c48ca0379e006848f4709f4101c200dcbb478e1b110958cb3a0af46,round_signed,sa0 n23,32,32,73,False,8192,1.0,1.0,1.0,False,False,1,0,1,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
28,48b93ae4fa9ab858ddddac9d54186b6f714bebb3b8a81caff2a8257ba844345c,bus_interface,sa1 bus_grant_a,66,34,35,False,8192,0.5084228515625,0.5084228515625,0.9416061992142521,False,True,1,0,1,1.0,0.625,0.5625,0.875,0.9375,1.0,1.0
29,12fdbd3026129fa1401dc333193b7a6e45945fdc6745fa3c9a19708df1af9b68,wideexpr_00068,sa1 y[64],80,128,142,False,8192,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,0.8125,0.9375,0.9375,0.875,1.0
30,7350d8144d2777c39d2f515e615638a88df910eefea190fda1e485d76b9bbd4b,uopcodefpudecoder,sa0 n69,11,21,76,True,2048,0.984375,0.98828125,0.9999999403953552,False,False,1,1,1,1.0,0.9375,0.9375,0.9375,0.8125,0.9375,1.0
31,c3b6ce7528f661bdcddfb5c4fbcc3e7dc8ec3bef259a8dd4e1de84a7fff143ab,ula_ctrl,sa0 n25,9,4,18,True,512,0.99609375,0.99609375,0.9999999997671694,False,False,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1b820f307582c7e4a5bf5dd45edbc753dba77db04e45c1820ba9e31594c8f953,cu,sa0 po00,14,11,27,True,16384,0.875,0.875,0.999755859375,False,True,1,1,1,1.0,0.875,0.875,1.0,1.0,1.0,1.0
33,1ed57b2a536282b71a34916728fdb918392e549990110ee99b706cf97290d34f,signedmodule,sa0 n32,12,10,33,True,4096,0.234375,0.9375,0.6563910841941833,False,False,0,1,1,1.0,0.25,0.1875,0.25,0.5625,0.6875,0.6875
34,44d0583e768e37a76aa2c00850e6b3bfb953838dc1011f52315c252d956b491d,comp3,sa1 n22,9,3,13,True,512,0.5,0.5625,0.9375,False,False,1,0,1,1.0,0.5625,0.4375,0.625,0.8125,1.0,1.0
35,277b18eb2688ee956d1bf16ee20175f2aaad19341b2f01d3dd628f9ae8b838df,qkt_macro_handler_hub_add_32s_17_4,sa1 n37,32,32,77,False,8192,0.6348876953125,0.759033203125,0.982229245074947,False,False,1,0,1,1.0,0.6875,0.375,0.5,0.75,0.875,1.0
36,284f14245c409ec3d3654dbaf427d969875ecb21f56227420dfe678bae792a79,top,sa0 n88,54,48,103,False,8192,1.0,1.0,1.0,False,False,1,1,1,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
37,aa3aae7e1c2e74d719d1737e68c1e5e8ace2d42ce5f10ad534b8d6682fa480e9,top,sa1 n48,61,67,106,False,8192,0.2474365234375,0.2474365234375,0.6792456542048233,False,False,0,1,1,1.0,0.0,0.0625,0.0625,0.0,0.1875,0.4375
38,93353ace21c8c2c7c1f77d0c356664c0ea9cc041048e366f6bc93be532d72517,control,sa1 alusrc1,15,23,71,True,32768,0.999267578125,0.999267578125,0.9999999999997122,False,True,0,1,1,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0
39,07c1ce01bfc3bdc1ad810824cf7be16a52173943c6511a1f50ab7d7adaa3f7ce,expression_00097,sa0 n40,60,90,137,False,8192,0.4945068359375,0.502685546875,0.9347078232702832,False,False,0,0,0,0.8125,0.4375,0.25,0.4375,0.5,0.75,0.75
40,4ed8c7b2c24c2348a2130d6d7d0e6674a9c0709cbe046071c58f2df1d2a4a4ba,pcler8_cl,sa0 n30,27,17,45,False,8192,0.5010986328125,0.9993896484375,0.9380475085657947,False,False,0,1,1,1.0,0.375,0.5625,0.875,0.875,0.875,0.875
41,0fa01ba909ac6da08cb9e4b8e93e6fd96c78a45957114598da1bdb1c4f4cee0a,instruction_increment,sa1 n38,32,32,77,False,8192,1.0,1.0,1.0,False,False,1,0,1,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
42,d331f84d3591236277f4c08a65165f43b20fe909c306623cd5992474ad5e6417,qkt_macro_handler_unit_add_32s_102_1,sa1 n40,32,32,77,False,8192,0.031982421875,0.031982421875,0.12192224549079,False,False,0,1,1,1.0,0.0625,0.0,0.0,0.0625,0.0625,0.0625
43,bae927de30d1468befa7d2a6bcbe4491a5c0955457484964610585636d003f22,bin_bcd,sa0 n95,8,12,62,True,256,0.46875,0.46875,0.9203481674194336,False,False,1,0,1,1.0,0.5,0.625,0.8125,0.8125,0.625,1.0
